"","rowname","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","r","N2"
"613","CEchoices[1]",-2.59830429966129,0,0,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,2.0006001800542,0.999799979995999,0.1,4
"614","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.1,4
"615","CEchoices[3]",-0.729603513513176,0.00557734219135726,0.650591911822386,-1,-1,-1,-1,0.83568558375305,13607.0110587638,0.999952250032311,0.1,4
"616","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.1,4
"617","CEchoices[1]",-2.59830429966129,0,0,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,2.0006001800542,0.999799979995999,0.1,5
"618","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.1,5
"619","CEchoices[3]",-0.704629433739885,0.00665723828187557,0.768110932390641,-1,-1,-1,-0.870160085627827,1.47573157686158,13312.5020913134,1.00011407606176,0.1,5
"620","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.1,5
"621","CEchoices[1]",-2.59830429966129,0,0,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,2.0006001800542,0.999799979995999,0.1,6
"622","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.1,6
"623","CEchoices[3]",-0.626072658885415,0.00781559367290249,0.860650113366763,-1,-1,-1,-1,2.01900356712135,12126.3281173451,1.0000600787199,0.1,6
"624","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.1,6
"625","CEchoices[1]",-2.59830429966129,0,0,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,2.0006001800542,0.999799979995999,0.1,7
"626","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.1,7
"627","CEchoices[3]",-0.600963976195417,0.00864903941157844,0.946666402108823,-1,-1,-1,-1,2.48655648570122,11980.0374518684,0.999981616042458,0.1,7
"628","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.1,7
"629","CEchoices[1]",-2.59830429966129,0,0,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,2.0006001800542,0.999799979995999,0.1,8
"630","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.1,8
"631","CEchoices[3]",-0.583853122044691,0.00919260433985789,1.00678763337794,-1,-1,-1,-0.870160085627827,2.89360945446263,11994.9546057495,0.999934775015948,0.1,8
"632","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.1,8
"633","CEchoices[1]",-2.59830429966129,0,0,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,2.0006001800542,0.999799979995999,0.1,9
"634","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.1,9
"635","CEchoices[3]",-0.541764800345518,0.00974318077071743,1.0575426002917,-1,-1,-1,-1,3.25147262961261,11781.3272871242,0.999976553019673,0.1,9
